Trace: /tmp/codex-ios-ettrace.petrichor.30ycpe/run-clean-20260809-042344.wJ9bHy/output_259.json
Total duration:     23.668659
Idle self total:    21.272933
Unattributed total: 0.000000
Active total:       2.395726

Threads
 23.668659  100.00%total output_259

Top active self frames
  0.371715   15.52%active task_policy_set
  0.106860    4.46%active semaphore_destroy
  0.096530    4.03%active <deduplicated_symbol>
  0.083666    3.49%active _pthread_mutex_unlock_init_slow
  0.061926    2.58%active ETTrace
  0.055892    2.33%active objc_msgSend
  0.050081    2.09%active mach_vm_map
  0.038962    1.63%active AG::Graph::UpdateStack::update()
  0.032975    1.38%active AG::Graph::propagate_dirty(AG::AttributeID)
  0.022844    0.95%active swift::MetadataCacheKey::operator==(swift::MetadataCacheKey const&) const
  0.022816    0.95%active swift_retain
  0.022556    0.94%active swift_bridgeObjectRelease
  0.022443    0.94%active ___CFBasicHashFindBucket_Linear
  0.021522    0.90%active specialized find1<A>(_:key:filter:)
  0.017224    0.72%active ____sigwait_nocancel
  0.017137    0.72%active libicucore.A.dylib
  0.017083    0.71%active DYLD-STUB$$pthread_getspecific
  0.017058    0.71%active bool swift::RefCounts<swift::RefCountBitsT<(swift::RefCountInlinedness)1>>::doDecrementSlow<(swift::PerformDeinit)1>(swift::RefCountBitsT<(swift::RefCountInlinedness)1>, unsigned int)
  0.017021    0.71%active task_info
  0.016859    0.70%active __libplatform_init
  0.016703    0.70%active _xzm_xzone_malloc
  0.016628    0.69%active -[MTLSerializerCommandEncoder writeSegmentHeader:continuation:]
  0.016129    0.67%active AG::Subgraph::update(unsigned int)
  0.015760    0.66%active _free
  0.015736    0.66%active _os_alloc_slow
  0.011617    0.48%active aa_render
  0.011551    0.48%active swift::_getWitnessTable(swift::TargetProtocolConformanceDescriptor<swift::InProcess> const*, swift::TargetMetadata<swift::InProcess> const*, void const* const*)
